bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,2.3,2.224,2.5,2.4932,0.07630360410884891,27.578817342000548
usafabot1,2,1.927,2.5,2.499,0.07300684899377588,24.287910112994723
usafabot2,1.6,1.534,2.5,2.509,0.06661080993352358,19.952076864021365
usafabot3,1.3,1.236,2.75,2.756,0.06428063471995282,16.26937783701578
usafabot4,1.3,1.238,2.25,2.293,0.07545197147855064,21.037908843019977
usafabot5,1,0.9633999999999999,2,2.056,0.06689962630687867,23.324679051002022
usafabot6,1,0.956,2.5,2.556,0.07121797525905949,20.070269550022203
usafabot7,1,0.95,3,3.043,0.06594694837519031,17.400736021983903
usafabot8,2,2.013,3,3.069,0.07021395872616777,38.42788438702701
usafabot9,2.3,2.3096,3,3.064,0.06471599493170149,38.12140346702654
usafabot10,2.6,2.607,3,3.066,0.06637017402418031,37.932384277984966
usafabot11,3,3.007,3,3.064,0.06438167441127955,37.768192191957496
usafabot12,3.3,3.304,3,3.066,0.066121101019266,37.67895471199881
usafabot13,3.6,3.602,3,3.064,0.06403124237432854,37.666507704008836
usafabot14,4,3.997,3,3.059,0.059076221950967886,37.772098650981206
usafabot15,4,4.052,2,2.0342,0.062238573248428054,31.61808712297352
usafabot16,4,4.056,2.5,2.52,0.05946427498927408,25.555482285039034
usafabot17,4.6,4.656,2,2.03,0.06352952069707431,22.88713322399417
usafabot18,4.6,4.67,3,2.979,0.07308214556237409,17.018822857004125
usafabot19,3.6,3.599,2,1.942,0.058008620049092754,21.418956616020296
usafabot20,3.3,3.302,2.5,2.44,0.0600333240792146,26.752831326972228
usafabot21,3.3,3.296,2,1.939,0.06113100686231164,21.28968452400295
usafabot22,3,2.995,2.5,2.44,0.06020797289396152,26.870188760978635
usafabot23,3,2.987,2,1.939,0.06236986451805063,21.910239697957877
usafabot24,2,2.0204,2,1.9034,0.098730542386842,21.63245418202132
