bot,x_avg_pos,y_avg_pos,pos_err,time
usafabot0,2.317,2.5288,0.03344308598200842,0.0001
usafabot1,1.9966,2.539,0.03914792459377651,0.0001
usafabot2,1.5808,2.5214,0.028750652166516125,0.0001
usafabot3,1.2728,2.7758,0.03748973192755581,0.0003
usafabot4,1.2928,2.2574,0.010324727599312364,0.0001
usafabot5,0.975,3.0216,0.03303876511009445,0.0001
usafabot6,0.9733999999999999,2.5145999999999997,0.030343368303469467,0.0001
usafabot7,1.3312,2.0112,0.33138931787249865,0.0
usafabot8,1.9972,3.0408,0.040895965571190455,0.0001
usafabot9,2.3076,3.0326,0.03347416914577565,0.0
usafabot10,2.616,3.029,0.03312099032335832,0.0002
usafabot11,3.0232,3.0262,0.034995428272847205,0.0001
usafabot12,3.3252,3.0229999999999997,0.034118030423809675,0.0001
usafabot13,3.6314,3.0236,0.039280020366593615,0.0
usafabot14,4.0306,3.0208,0.03699999999999974,0.0001
usafabot15,4.0382,2.0038,0.038388539956606633,0.0002
usafabot16,4.001,2.5,0.001000000000000334,0.0
usafabot17,4.6416,2.0034,0.04173871104861843,0.0
usafabot18,4.6297999999999995,3.0158,0.03372951230006136,0.0001
usafabot19,3.642,2.0028,0.04209322985944397,0.0
usafabot20,3.3306,2.5154,0.034256678181049806,0.0001
usafabot21,3.3392,2.0032,0.039330395370502064,0.0008
usafabot22,3.03,2.5196,0.035835178247079935,0.0002
usafabot23,3.0418,2.003,0.04190751722543328,0.0001
usafabot24,1.9984,2.0026,0.003052867504494908,0.0001
