x,y


-0.298,2.039
0.473,2.111
0.763,2.199
1.206,2.225
1.649,2.359
1.984,2.57
2.381,2.721
2.712,2.754
3.077,2.899
3.386,2.87
3.377,2.9
3.374,2.895
3.378,2.895
3.369,2.888
3.366,2.896
3.365,2.882
3.371,2.904
3.366,2.884
3.377,2.897
3.37,2.887
3.379,2.888
3.375,2.886
3.38,2.896
3.383,2.902
3.376,2.888
3.381,2.899
3.376,2.886
3.384,2.888
3.375,2.891
3.374,2.905
3.373,2.903
3.373,2.9
3.389,2.897
3.369,2.906
3.384,2.899
3.379,2.904
3.38,2.894
3.378,2.895
3.374,2.893
3.381,2.903
3.375,2.898
3.372,2.897
3.385,2.893
3.374,2.9
3.388,2.894
3.381,2.895
3.385,2.902
3.376,2.887
3.387,2.908
3.372,2.897
3.379,2.889
3.37,2.905
3.379,2.899
3.377,2.895
3.367,2.886
3.39,2.899
3.369,2.891
3.39,2.891
3.378,2.904
3.368,2.892
3.378,2.9
3.38,2.898
3.376,2.898
3.386,2.903
3.391,2.897
3.378,2.894
3.383,2.906
3.374,2.895
3.374,2.899
3.367,2.891
3.383,2.897
3.375,2.893
3.387,2.89
3.379,2.899
3.377,2.905
3.381,2.897
3.383,2.898
3.385,2.891
3.374,2.902
3.381,2.893
3.373,2.894
3.389,2.897
3.378,2.897
3.375,2.903
3.381,2.897
3.372,2.898
3.382,2.906
3.378,2.896
3.382,2.901
3.386,2.902
3.382,2.903
3.385,2.903
3.387,2.903
3.37,2.909
