bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,2.2,2.131,2.0,2.008,0.06946221994724941,27.084507853000105
usafabot1,2.5,2.499,2.5,2.574,0.0740067564483134,44.271036058999925
usafabot2,2.6500000000000004,2.72,2.5,2.519,0.07253275122315424,41.66509739800017
usafabot3,2.8000000000000003,2.7864,2.0,1.938,0.06347408920181537,22.44404328099995
usafabot4,2.35,2.2786,2.5,2.4972,0.07145488086897928,28.17633637300014
usafabot5,2.5,2.5029999999999997,3.0,3.1006,0.1006447216698422,38.47634931399989
usafabot6,0.0,5.9962,0.0,3.2,6.796647294070805,0
usafabot7,0.0,2.596,0.0,0.0,2.596,0
usafabot8,0.0,-0.0032,0.0,2.6,2.6000019692300236,0
usafabot9,0.0,2.796,0.0,6.0,6.619487593462201,0
usafabot10,0.0,5.9962,0.0,2.8,6.617734842073985,0
usafabot11,0.0,2.7962,0.0,0.0,2.7962,0
usafabot12,0.0,-0.0038,0.0,2.8,2.800002578570241,0
usafabot13,0.0,3.1962,0.0,6.0,6.7982125915566955,0
usafabot14,0.0,5.996,0.0,2.6,6.535443060726641,0
usafabot15,0.0,3.196,0.0,0.0,3.196,0
usafabot16,0.0,-0.004,0.0,3.2,3.200002499999024,0
usafabot17,0.0,3.396,0.0,6.0,6.8944046878610195,0
usafabot18,0.0,3.396,0.0,0.0,3.396,0
usafabot19,0.0,-0.0038,0.0,3.4,3.4000021235287483,0
usafabot20,0.0,3.596,0.0,6.0,6.995085131719271,0
usafabot21,0.0,3.596,0.0,0.0,3.596,0
usafabot22,0.0,-0.004,0.0,3.6,3.6000022222215367,0
usafabot23,0.0,3.7962,0.0,6.0,7.100079889691383,0
usafabot24,0.0,-0.0038,0.0,3.8,3.8000018999995246,0
