bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,1.8333333333333335,1.772,2.0,2.013,0.06269591516022228,22.5450729840004
usafabot1,1.2333333333333334,1.183,2.0,2.0204,0.05431026094988353,16.864189253000404
usafabot2,3.6833333333333336,3.631,2.5,2.506,0.05267615948204484,43.01503592300014
usafabot3,3.533333333333333,3.458,2.5,2.503,0.07539304418254422,40.89202361600019
usafabot4,3.3833333333333333,3.285,2.5,2.491,0.09874433879693767,46.117152583999996
usafabot5,3.2333333333333334,3.177,2.0,2.028,0.06290822239138893,41.06137715400018
usafabot6,1.5333333333333334,1.502,2.5,2.541,0.051602110206635715,23.582984362999923
usafabot7,1.3833333333333333,1.302,2.5,2.542,0.09153748473227284,25.296140168999955
usafabot8,2.2333333333333334,2.238,2.0,2.067,0.06716232409452341,48.08789177699964
usafabot9,2.2333333333333334,2.2434,2.5,2.57,0.07072013700338646,42.665298779000295
usafabot10,2.533333333333333,2.5402,2.5,2.568,0.06834581999735698,42.681699351000134
usafabot11,1.6833333333333333,1.708,2.5,2.553,0.0584589124466444,45.29070407099971
usafabot12,1.5333333333333334,1.575,3.0,3.064,0.0763682598407945,42.13245564199951
usafabot13,2.2333333333333334,2.2688,3.0,3.073,0.08115962323991188,39.798144802000024
usafabot14,2.533333333333333,2.558,3.0,3.054,0.059367031629048314,39.24231579300067
usafabot15,2.8333333333333335,2.894,3.0,3.008,0.06119186583561938,36.64405856800022
usafabot16,3.533333333333333,3.604,3.0,3.006,0.0709209262332198,28.748199573999955
usafabot17,3.8333333333333335,3.9316,2.0,2.0372,0.10507225027464548,27.53746725200017
usafabot18,0.0,5.995,0.0,2.6,6.53452561399831,0
usafabot19,0.0,3.595,0.0,0.0,3.595,0
usafabot20,0.0,3.395,0.0,0.0,3.395,0
usafabot21,0.0,3.195,0.0,0.0,3.195,0
usafabot22,0.0,2.795,0.0,0.0,2.795,0
usafabot23,0.0,2.595,0.0,0.0,2.595,0
usafabot24,0.0,2.395,0.0,0.0,2.395,0
