bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,1.8333333333333335,1.768,2.0,2.0136,0.06673383283196356,22.328914636999798
usafabot1,1.2333333333333334,1.165,2.0,2.027,0.07347410730620996,16.669509268000184
usafabot2,3.6833333333333336,3.631,2.5,2.506,0.05267615948204484,42.6487635780004
usafabot3,3.533333333333333,3.458,2.5,2.502,0.0753598773294587,41.44513701800042
usafabot4,3.3833333333333333,3.285,2.5,2.4898000000000002,0.09886093487543199,46.73476142199979
usafabot5,3.2333333333333334,3.186,2.0,2.024,0.05307018413803043,41.269269319999694
usafabot6,1.5333333333333334,1.51,2.5,2.54,0.04630814663149943,23.58143442399978
usafabot7,1.3833333333333333,1.31,2.5,2.543,0.08501045687312696,25.301121838000654
usafabot8,2.2333333333333334,2.238,2.0,2.074,0.07414700113812933,48.264471122999566
usafabot9,2.2333333333333334,2.2432,2.5,2.571,0.0716822928700745,42.67773599700013
usafabot10,2.533333333333333,2.541,2.5,2.568,0.06843082476324384,42.90815091799959
usafabot11,1.6833333333333333,1.717,2.5,2.572,0.07948235303791942,45.64972672699969
usafabot12,1.5333333333333334,1.576,3.0,3.066,0.07859035847000839,42.24395766999987
usafabot13,2.2333333333333334,2.2603999999999997,3.0,3.0554,0.06165844990302984,39.856434210999396
usafabot14,2.533333333333333,2.558,3.0,3.055,0.0602780593951436,39.494364992000556
usafabot15,2.8333333333333335,2.909,3.0,3.011,0.07646204577726387,36.91453954500048
usafabot16,3.533333333333333,3.6,3.0,3.006,0.06693612211985744,28.887153290999777
usafabot17,3.8333333333333335,3.9288,2.0,2.0362,0.10209958101992578,27.373980993999794
usafabot18,0.0,5.997,0.0,2.6,6.53636053167204,0
usafabot19,0.0,3.597,0.0,0.0,3.597,0
usafabot20,0.0,3.397,0.0,0.0,3.397,0
usafabot21,0.0,3.197,0.0,0.0,3.197,0
usafabot22,0.0,2.797,0.0,0.0,2.797,0
usafabot23,0.0,2.597,0.0,0.0,2.597,0
usafabot24,0.0,2.397,0.0,0.0,2.397,0
