bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,22,2.246,22,2.495,27.76086347720474,15.301497250999091
usafabot1,22,1.942,22,2.501,27.97381570326079,13.318756511987885
usafabot2,22,1.547,22,2.5082,28.25341530222497,10.740426821022993
usafabot3,22,1.244,22,2.756,28.304470883590103,8.72639384001377
usafabot4,22,1.259,22,2.284,28.61659897681763,11.40934292098973
usafabot5,22,0.9712,22,2.0456,28.989455131133457,12.77098737002234
usafabot6,22,0.967,22,2.541,28.6537915466697,11.044118566991528
usafabot7,22,0.956,22,3.037,28.32746555906476,9.375764216994867
usafabot8,22,2.013,22,3.056,27.53825166926906,21.90980601697811
usafabot9,22,2.3096,22,3.059,27.32166417259388,21.606630797992693
usafabot10,22,2.607,22,3.054,27.111609413681073,21.68240802999935
usafabot11,22,3.0068,22,3.058,26.824261597292853,21.609811502014054
usafabot12,22,3.303,22,3.06,26.613932610570725,21.598689263977576
usafabot13,22,3.602,22,3.0588,26.40559526767007,21.666976376000093
usafabot14,22,3.9976000000000003,22,3.057,26.132808015213367,21.548724378022598
usafabot15,22,4.043,22,2.028,26.857673633432963,17.856400718010264
usafabot16,22,4.05,22,2.517,26.491315350506852,14.270001035998575
usafabot17,22,4.65,22,2.0284,26.455383319090274,12.484297487011645
usafabot18,22,4.65,22,2.984,25.741615256234407,9.395472247008001
usafabot19,22,3.599,22,1.949,27.214690922367645,12.024338238989003
usafabot20,22,3.301,22,2.453,27.05065267234785,15.453432665002765
usafabot21,22,3.2968,22,1.945,27.42285023917098,11.870934771985048
usafabot22,22,2.995,22,2.447,27.267376734845616,15.360386411019135
usafabot23,22,2.988,22,1.945,27.634383817990226,12.218263614020543
usafabot24,22,2.0118,22,1.9422,28.316840926911322,12.106320942024468
