bot,x_dest,x_avg_pos,y_dest,y_avg_pos,pos_err,time
usafabot0,3.3,3.249,2.0,2.006,0.05135172830587076,22.0866140149883
usafabot1,3.0,2.947,2.0,2.009,0.05375872022286237,20.468694601004245
usafabot2,2.7,2.64,2.0,2.017,0.06236184731067548,18.91980682700523
usafabot3,2.3,2.241,2.0,2.024,0.06369458375717646,16.895189659000607
usafabot4,1.7,1.6483999999999999,2.0,2.039,0.0646804452674842,15.030224390997319
usafabot5,2.3,2.24,2.5,2.526,0.06539113089708683,17.280317210999783
usafabot6,2.0,1.9428,2.5,2.5343999999999998,0.06674728458896267,16.24766237998847
usafabot7,1.7,1.646,2.5,2.5436,0.06940432263195148,15.48995225399267
usafabot8,1.7,1.7198,3.0,3.071,0.07370915818268464,22.039445503993193
usafabot9,2.3,2.309,3.0,3.0732,0.0737512033800127,21.74278934299946
usafabot10,3.0,2.9972,2.5,2.56,0.06006529780164256,24.93112652300624
usafabot11,2.7,2.712,3.0,3.0632,0.06432915357751895,21.672913152026013
usafabot12,3.0,3.0088,3.0,3.05,0.05076849416715037,21.572069195011863
usafabot13,3.3,3.311,3.0,3.1060000000000003,0.10656922632730366,21.551476310996804
usafabot14,0.0,3.7976,0.0,6.0,7.100828526305927,0
usafabot15,0.0,5.9976,0.0,3.4,6.8942879081164,0
usafabot16,0.0,5.9976,0.0,3.2,6.797882446762374,0
usafabot17,0.0,5.9976,0.0,2.8,6.61900338117454,0
usafabot18,0.0,5.9976,0.0,2.6,6.536911025859232,0
usafabot19,0.0,3.5976,0.0,0.0,3.5976,0
usafabot20,0.0,3.3976,0.0,0.0,3.3976,0
usafabot21,0.0,3.1976,0.0,0.0,3.1976,0
usafabot22,0.0,2.7976,0.0,0.0,2.7976,0
usafabot23,0.0,2.5976,0.0,0.0,2.5976,0
usafabot24,0.0,2.3976,0.0,0.0,2.3976,0
