bot,x_avg_pos,y_avg_pos,pos_err,time
usafabot0,2.3038,2.5,27.71624603801893,0.0001
usafabot1,2.0021999999999998,2.5,27.931380288843584,0.0001
usafabot2,1.6038000000000001,2.5,28.217990262242278,0.0002
usafabot3,1.3026,2.75,28.265612796470556,0.0007
usafabot4,1.3028,2.25,28.60833074193599,0.0001
usafabot5,1.003,3.0,28.31737998120589,0.0001
usafabot6,1.0028,2.5,28.655408003376955,0.0001
usafabot7,1.0028,2.0,28.99797247808888,0.0
usafabot8,2.0021999999999998,3.0,27.58463349113053,0.0
usafabot9,2.304,3.0,27.366629606146244,0.0001
usafabot10,2.601,3.0,27.153659072029317,0.0
usafabot11,3.004,3.0,26.867229406844316,0.0
usafabot12,3.304,3.0,26.655963985569908,0.0001
usafabot13,3.601,3.0,26.448500921602342,0.0
usafabot14,4.0026,3.0,26.170716588584273,0.0001
usafabot15,4.003,2.0,26.905241292357886,0.0001
usafabot16,4.0028,2.5,26.535809914905553,0.0001
usafabot17,4.6016,2.0,26.50857073778215,0.0
usafabot18,4.6018,3.0,25.762324492172674,0.0
usafabot19,3.6034,2.0,27.17415852533432,0.0001
usafabot20,3.3038,2.5,27.0147717821195,0.0
usafabot21,3.3036,2.0,27.37800892979619,0.0
usafabot22,3.0038,2.5,27.22325503021268,0.0001
usafabot23,3.0036,2.0,27.58374907368467,0.0001
usafabot24,2.0034,2.0,28.281867186591484,0.0
